SYMBOL,DATE,qnty_per_trade,avg_qnty_per_trade,deliv_qty,avg_deliv_qty,trade_qty_deviation,delivery_qty_deviation,F&O,NIFTY_500,ROC_RS_7,ROC_RS_14,AD_Count,DD_Count,NA_Count,vwap_positive_7days,vwap_negative_7days,vwap_positive_14days,vwap_negative_14days
AMBICAAGAR,2024-12-31,56,36.0,10830,14415.0,55.0,-24.0,N,N,7.692308,7.692308,8,7,10,3,3,6,7
AMBIKCO,2024-12-31,5,6.0,3112,10682.0,-21.0,-70.0,N,N,-1.862464,-2.560455,8,2,15,2,5,4,10
AMBUJACEM,2024-12-31,32,40.0,363214,913279.0,-20.0,-60.0,Y,Y,-2.575107,-3.404255,7,4,14,1,6,4,10
AMDIND,2024-12-31,29,26.0,6093,6232.0,10.0,-2.0,N,N,-3.846154,-3.846154,5,4,16,1,6,1,13
AMIORG,2024-12-31,7,8.0,47335,78312.0,-16.0,-39.0,N,N,1.112347,1.0,6,6,13,4,3,6,8
AMJLAND,2024-12-31,48,67.0,29866,139225.0,-27.0,-78.0,N,N,-6.666667,7.692308,5,3,17,2,5,4,10
AMNPLST,2024-12-31,15,20.0,10348,17441.0,-23.0,-40.0,N,N,8.181818,8.181818,7,4,14,3,4,8,6
AMRUTANJAN,2024-12-31,5,12.0,6832,12453.0,-55.0,-45.0,N,N,-3.773585,0.657895,5,5,15,3,4,8,6
ANANDRATHI,2024-12-31,3,5.0,9701,21170.0,-35.0,-54.0,N,Y,-3.135889,-6.502242,5,6,14,2,5,3,11
ANANTRAJ,2024-12-31,23,29.0,381688,645541.0,-21.0,-40.0,N,Y,0.835655,22.711864,11,4,10,4,3,8,6
ANDHRAPAP,2024-12-31,33,47.0,38777,117992.0,-28.0,-67.0,N,N,-2.439024,-2.439024,4,6,15,2,4,5,8
ANDHRSUGAR,2024-12-31,60,57.0,75072,76020.0,6.0,-1.0,N,N,2.5,2.5,4,6,15,3,4,5,9
ANGELONE,2024-12-31,14,14.0,164420,308452.0,-3.0,-46.0,Y,Y,1.472995,-10.144928,6,4,15,2,5,3,11
ANMOL,2024-12-31,101,92.0,55429,50234.0,10.0,10.0,N,N,0.0,-8.333333,3,8,14,2,5,4,10
ANTGRAPHIC,2024-12-31,1378,1521.0,782637,851169.0,-9.0,-8.0,N,N,0.0,0.0,5,6,14,3,2,3,2
ANUHPHR,2024-12-31,17,19.0,40249,38305.0,-11.0,5.0,N,N,2.12766,,1,1,4,2,5,2,5
ANUP,2024-12-31,4,4.0,8436,22151.0,-11.0,-61.0,N,N,1.998622,0.475221,7,3,15,2,5,5,9
ANURAS,2024-12-31,12,23.0,32907,66715.0,-45.0,-50.0,N,N,0.0,-2.24359,5,6,14,2,5,6,8
APARINDS,2024-12-31,3,3.0,29490,27047.0,1.0,9.0,N,Y,3.682585,5.181972,6,3,16,3,4,8,6
APCL,2024-12-31,15,43.0,2138,14211.0,-64.0,-84.0,N,N,1.449275,-4.109589,5,3,17,4,3,6,8
APCOTEXIND,2024-12-31,21,20.0,21004,26457.0,3.0,-20.0,N,N,-1.863354,1.282051,5,5,15,3,4,5,9
APEX,2024-12-31,58,31.0,265240,46758.0,85.0,467.0,N,N,10.47619,7.407407,7,4,14,3,4,6,8
APLAPOLLO,2024-12-31,22,17.0,408399,284548.0,26.0,43.0,Y,Y,0.302572,2.157165,6,6,13,2,5,7,7
