SYMBOL,DATE,qnty_per_trade,avg_qnty_per_trade,deliv_qty,avg_deliv_qty,trade_qty_deviation,delivery_qty_deviation,F&O,NIFTY_500,ROC_RS_7,ROC_RS_14,AD_Count,DD_Count,NA_Count,vwap_positive_7days,vwap_negative_7days,vwap_positive_14days,vwap_negative_14days
PSUBNKIETF,2025-01-01,148,136.0,72846,101265.0,9.0,-28.0,N,N,0.0,-3.448276,6,4,15,3,4,5,9
PTC,2025-01-01,84,62.0,522241,1231610.0,34.0,-57.0,N,N,6.666667,-8.571429,7,7,11,4,3,6,8
PTCIL,2025-01-01,6,3.0,8972,16315.0,61.0,-45.0,N,Y,6.909022,18.103448,2,5,18,3,4,6,8
PTL,2025-01-01,43,59.0,19842,33794.0,-27.0,-41.0,N,N,0.0,0.0,5,3,17,3,4,5,9
PUNJABCHEM,2025-01-01,5,6.0,925,6475.0,-17.0,-85.0,N,N,-0.886918,3.712297,8,6,11,4,3,7,7
PURVA,2025-01-01,64,22.0,139420,48142.0,188.0,189.0,N,N,-4.761905,-3.614458,6,4,15,1,6,4,10
PVP,2025-01-01,103,165.0,269122,337244.0,-37.0,-20.0,N,N,0.0,16.666667,11,3,11,4,3,4,3
PVRINOX,2025-01-01,14,21.0,40080,238881.0,-31.0,-83.0,Y,Y,-3.141361,-6.722689,3,9,13,3,4,5,9
PVSL,2025-01-01,25,32.0,17283,54637.0,-21.0,-68.0,N,N,-2.941176,-5.714286,6,7,12,2,5,3,11
PVTBANIETF,2025-01-01,383,559.0,584249,823590.0,-31.0,-29.0,N,N,10.0,0.0,7,4,14,3,3,6,7
PVTBANKADD,2025-01-01,102,204.0,12744,51625.0,-50.0,-75.0,N,N,0.0,0.0,4,6,15,2,4,4,9
PYRAMID,2025-01-01,28,36.0,16850,52081.0,-23.0,-67.0,N,N,-3.333333,-5.434783,4,5,16,3,4,4,10
QGOLDHALF,2025-01-01,96,240.0,23798,59135.0,-59.0,-59.0,N,N,0.0,0.0,6,5,14,0,5,3,8
QNIFTY,2025-01-01,10,10.0,376,546.0,-6.0,-31.0,N,N,0.0,0.0,3,7,15,4,3,6,8
QUAL30IETF,2025-01-01,105,197.0,13913,80003.0,-46.0,-82.0,N,N,0.0,0.0,2,6,17,4,3,8,6
QUESS,2025-01-01,13,22.0,67499,214698.0,-39.0,-68.0,N,Y,-0.355872,1.449275,6,3,16,3,4,5,9
QUICKHEAL,2025-01-01,16,21.0,14761,40672.0,-23.0,-63.0,N,N,5.703422,4.90566,8,2,15,3,4,7,7
RACE,2025-01-01,19,20.0,11991,11714.0,-5.0,2.0,N,N,10.416667,8.163265,5,5,15,5,2,7,7
RACLGEAR,2025-01-01,4,7.0,770,6037.0,-37.0,-87.0,N,N,1.117318,4.624277,6,3,15,3,4,5,9
RADIANTCMS,2025-01-01,118,81.0,153402,114497.0,46.0,33.0,N,N,0.0,3.225806,5,4,16,1,6,2,12
RADICO,2025-01-01,7,10.0,49073,171310.0,-28.0,-71.0,N,Y,4.716073,9.788093,8,2,15,5,2,8,6
RADIOCITY,2025-01-01,256,216.0,65743,79109.0,18.0,-16.0,N,N,-88.888889,-88.372093,3,3,19,0,6,5,8
RAILTEL,2025-01-01,33,42.0,218281,379556.0,-22.0,-42.0,N,Y,2.39521,-6.043956,5,3,17,2,5,4,10
RAIN,2025-01-01,103,88.0,621123,928124.0,16.0,-33.0,N,N,4.225352,-6.329114,7,4,14,3,4,5,9
RAINBOW,2025-01-01,6,7.0,19760,44859.0,-8.0,-55.0,N,Y,1.080247,-1.206637,7,4,14,5,2,9,5
