SYMBOL,DATE,qnty_per_trade,avg_qnty_per_trade,deliv_qty,avg_deliv_qty,trade_qty_deviation,delivery_qty_deviation,F&O,NIFTY_500,ROC_RS_7,ROC_RS_14,AD_Count,DD_Count,NA_Count,vwap_positive_7days,vwap_negative_7days,vwap_positive_14days,vwap_negative_14days
UTINEXT50,2024-12-30,75,88.0,79004,81688.0,-14.0,-3.0,N,N,,,4,6,15,2,7,4,11
UTINIFTETF,2024-12-30,104,184.0,38094,77294.0,-43.0,-50.0,N,N,,,4,6,15,3,6,6,10
UTISENSETF,2024-12-30,12,15.0,1009,1263.0,-20.0,-20.0,N,N,,,7,6,12,1,8,4,12
UTISXN50,2024-12-30,22,29.0,2395,2936.0,-21.0,-18.0,N,N,,,5,3,17,7,2,10,6
UTKARSHBNK,2024-12-30,155,151.0,822521,1237780.0,2.0,-33.0,N,N,,,2,8,15,1,7,5,10
UTTAMSUGAR,2024-12-30,29,34.0,22942,32667.0,-15.0,-29.0,N,N,,,2,7,16,5,4,7,9
UYFINCORP,2024-12-30,122,86.0,31776,55311.0,42.0,-42.0,N,N,,,5,7,13,2,7,5,11
VADILALIND,2024-12-30,9,5.0,8502,5479.0,83.0,55.0,N,N,,,7,3,15,4,5,6,10
VAIBHAVGBL,2024-12-30,26,37.0,117238,482678.0,-29.0,-75.0,N,N,,,7,2,16,3,6,7,9
VAKRANGEE,2024-12-30,703,677.0,11558717,7882196.0,3.0,46.0,N,N,,,9,1,15,2,7,5,11
VAL30IETF,2024-12-30,225,165.0,121690,96431.0,36.0,26.0,N,N,,,7,6,12,3,6,5,9
VALIANTLAB,2024-12-30,40,48.0,16453,52706.0,-16.0,-68.0,N,N,,,8,4,13,2,7,4,12
VALIANTORG,2024-12-30,14,16.0,22730,23956.0,-13.0,-5.0,N,N,,,5,8,12,2,7,4,12
VARDHACRLC,2024-12-30,43,78.0,6111,51752.0,-45.0,-88.0,N,N,,,7,3,15,1,8,6,10
VARDMNPOLY,2024-12-30,659,738.0,372384,726149.0,-10.0,-48.0,N,N,,,10,1,14,3,6,5,11
VARROC,2024-12-30,13,24.0,54669,252349.0,-43.0,-78.0,N,Y,,,4,4,17,3,6,5,11
