Symbol,Lot Size,Future OI,Change (Future OI),# of lots change (Future OI),% Change in Future_OI,PE OI,Change (PE OI),# of lots change (PE OI),% Change (PE OI),CE OI,Change (CE OI),# of lots change (CE OI),% Change (CE OI),VWAP,CLOSE PRICE,Change CE / PE Ratio (OI),Delivery %,% Change in Price,% Change in Price From Low,% Change in Price From High,Decision (Based on Options,Decision (Based on Futures,Decision (Based on Price
SBIN,750,119169000,2394000,3192.0,2.050096,32941500,1163250,1551.0,3.660523,58482750,6921000,9228.0,13.422741,798.97,793.4,5.94971,52.33,-0.009735,0.001578,0.019889,Possible Sell,None,Weak. Price Close Below VWAP.
SHREECEM,25,364275,100,4.0,0.027459,30975,-1500,-60.0,-4.618938,47875,7275,291.0,17.918719,26398.71,26096.25,-4.85,36.93,-0.022242,0.003663,0.031859,Possible Sell,Possible Sell,Weak. Price Close Below VWAP.
SHRIRAMFIN,150,6662400,-44850,-299.0,-0.668679,945150,19500,130.0,2.106628,1275900,16050,107.0,1.273961,3063.56,3048.35,0.823077,35.45,-0.003823,0.004018,0.016026,None,None,Weak. Price Close Below VWAP.
SIEMENS,75,2098125,-7650,-102.0,-0.363287,606600,12375,165.0,2.082544,1301025,147375,1965.0,12.774672,6649.98,6609.7,11.909091,60.37,-0.013257,0.002024,0.019332,Possible Sell,None,Weak. Price Close Below VWAP.
SJVN,4725,16159500,-552825,-117.0,-3.307888,9431100,113400,24.0,1.217039,16764300,-1374975,-291.0,-7.580099,110.44,109.09,-12.125,25.95,-0.002378,0.001745,0.024152,None,Possible Sell,Weak. Price Close Below VWAP.
SONACOMS,775,4525225,417725,539.0,10.169811,392925,58125,75.0,17.361111,947050,102300,132.0,12.110092,595.34,591.1,1.76,56.23,-0.010629,0.006042,0.026675,None,Possible Sell,Weak. Price Close Below VWAP.
SRF,375,5980500,54000,144.0,0.911162,1218375,107250,286.0,9.652379,1473750,222000,592.0,17.735171,2262.9,2284.9,2.06993,54.05,0.027037,0.031069,0.002227,Possible Sell,Possible Buy,Strong. Price Close Above VWAP.
SUNPHARMA,350,16099650,-17150,-49.0,-0.106411,2693950,-292950,-837.0,-9.807828,5729500,276500,790.0,5.070603,1856.13,1849.65,-0.943847,61.05,-0.015096,0.003064,0.018232,None,None,Weak. Price Close Below VWAP.
SUNTV,750,4473000,0,0.0,0.0,794250,-3750,-5.0,-0.469925,1527750,5250,7.0,0.344828,693.42,687.4,-1.4,32.43,-0.008796,0.003211,0.020728,None,Possible Sell,Weak. Price Close Below VWAP.
SUPREMEIND,125,634250,133500,1068.0,26.66001,52250,9250,74.0,21.511628,86750,22625,181.0,35.282651,4691.52,4615.15,2.445946,51.99,-0.01846,0.008445,0.042093,None,Possible Sell,Weak. Price Close Below VWAP.
SYNGENE,1000,5543000,23000,23.0,0.416667,1522000,75000,75.0,5.183138,1739000,76000,76.0,4.570054,861.15,856.85,1.013333,49.37,-0.01923,0.006401,0.025088,None,Possible Sell,Weak. Price Close Below VWAP.
TATACHEM,550,8239000,167200,304.0,2.071409,3506250,209550,381.0,6.356356,7852350,786500,1430.0,11.131003,1033.92,1027.9,3.753281,38.65,-0.003442,0.004495,0.013153,Possible Sell,None,Weak. Price Close Below VWAP.
TATACOMM,250,5992250,-49250,-197.0,-0.815195,1052750,43250,173.0,4.284299,1394250,21500,86.0,1.566199,1744.19,1736.55,0.49711,45.2,-0.004871,0.003206,0.013128,None,None,Weak. Price Close Below VWAP.
TATACONSUM,456,13917120,-218880,-480.0,-1.548387,3195648,91200,200.0,2.93772,3197472,139536,306.0,4.563078,935.99,939.45,1.53,63.75,0.010542,0.014525,0.002601,None,None,Strong. Price Close Above VWAP.
