TICKER,NSE CODE,GOOGLE CODE,LAST PRICE,ATM STRIKE,ATM CE VALUE,ATM PE VALUE,UPPER BAND CONS,LOWER BAND CONS,COMBINED PREMIUM,% PREMIUM
Tata Motors Limited (XNSE:TATAMOTORS),TATAMOTORS,NSE:TATAMOTORS,756.0,760.0,20.2,23.7,803.9,716.1,43.9,5.81%
Tata Power Company Limited (XNSE:TATAPOWER),TATAPOWER,NSE:TATAPOWER,402.1,400.0,13.55,11.2,424.75,375.25,24.75,6.16%
TATA Steel Limited (XNSE:TATASTEEL),TATASTEEL,NSE:TATASTEEL,139.88,140.0,4.05,4.05,148.1,131.9,8.1,5.79%
Tata Consultancy Services Limited (XNSE:TCS),TCS,NSE:TCS,4167.5,4150.0,107.75,89.35,4347.1,3952.9,197.1,4.73%
Tech Mahindra Limited (XNSE:TECHM),TECHM,NSE:TECHM,1719.35,1720.0,43.6,45.0,1808.6,1631.4,88.6,5.15%
Tube Investments of India Limited (XNSE:TIINDIA),TIINDIA,NSE:TIINDIA,3618.1,3600.0,169.0,109.1,3878.1,3321.9,278.1,7.69%
Titan Company Limited (XNSE:TITAN),TITAN,NSE:TITAN,3334.65,3350.0,72.1,86.35,3508.45,3191.55,158.45,4.75%
Torrent Pharmaceuticals Limited (XNSE:TORNTPHARM),TORNTPHARM,NSE:TORNTPHARM,3431.9,3450.0,82.2,99.9,3632.1,3267.9,182.1,5.31%
Trent Limited (XNSE:TRENT),TRENT,NSE:TRENT,7174.85,7200.0,237.1,255.3,7692.4,6707.6,492.4,6.86%
TVS Motor Company Limited (XNSE:TVSMOTOR),TVSMOTOR,NSE:TVSMOTOR,2439.15,2440.0,68.65,67.7,2576.35,2303.65,136.35,5.59%
United Breweries Limited (XNSE:UBL),UBL,NSE:UBL,2044.35,2040.0,58.0,49.95,2147.95,1932.05,107.95,5.28%
UltraTech Cement Limited (XNSE:ULTRACEMCO),ULTRACEMCO,NSE:ULTRACEMCO,11469.0,11500.0,262.4,289.55,12051.95,10948.05,551.95,4.81%
Union Bank of India (XNSE:UNIONBANK),UNIONBANK,NSE:UNIONBANK,118.75,119.0,4.5,3.8,127.3,110.7,8.3,6.99%
United Spirits Limited (XNSE:UNITDSPR),UNITDSPR,NSE:UNITDSPR,1588.55,1580.0,45.0,35.8,1660.8,1499.2,80.8,5.09%
UPL Limited (XNSE:UPL),UPL,NSE:UPL,504.65,500.0,17.0,12.05,529.05,470.95,29.05,5.76%
Varun Beverages Limited (XNSE:VBL),VBL,NSE:VBL,628.6,630.0,18.25,19.35,667.6,592.4,37.6,5.98%
Vedanta Limited (XNSE:VEDL),VEDL,NSE:VEDL,454.4,450.0,17.55,13.0,480.55,419.45,30.55,6.72%
Voltas Limited (XNSE:VOLTAS),VOLTAS,NSE:VOLTAS,1712.75,1720.0,45.65,51.65,1817.3,1622.7,97.3,5.68%
Wipro Limited (XNSE:WIPRO),WIPRO,NSE:WIPRO,310.6,310.0,10.15,9.5,329.65,290.35,19.65,6.33%
Yes Bank Limited (XNSE:YESBANK),YESBANK,NSE:YESBANK,19.95,20.0,0.75,0.75,21.5,18.5,1.5,7.52%
Zomato Limited (XNSE:ZOMATO),ZOMATO,NSE:ZOMATO,273.3,275.0,11.2,12.8,299.0,251.0,24.0,8.78%
Zydus Lifesciences Limited (XNSE:ZYDUSLIFE),ZYDUSLIFE,NSE:ZYDUSLIFE,979.7,980.0,24.95,24.8,1029.75,930.25,49.75,5.08%
