TICKER,NSE CODE,GOOGLE CODE,LAST PRICE,ATM STRIKE,ATM CE VALUE,ATM PE VALUE,UPPER BAND CONS,LOWER BAND CONS,COMBINED PREMIUM,% PREMIUM
Astral Limited (XNSE:ASTRAL),ASTRAL,NSE:ASTRAL,1625.45,1620.0,47.25,41.55,1708.8,1531.2,88.8,5.46%
Adani Total Gas Limited (XNSE:ATGL),ATGL,NSE:ATGL,720.1,720.0,31.2,26.65,777.85,662.15,57.85,8.03%
Atul Limited (XNSE:ATUL),ATUL,NSE:ATUL,6904.15,6900.0,226.35,219.45,7345.8,6454.2,445.8,6.46%
AU Small Finance Bank Limited (XNSE:AUBANK),AUBANK,NSE:AUBANK,568.4,570.0,17.25,18.9,606.15,533.85,36.15,6.36%
Aurobindo Pharma Limited (XNSE:AUROPHARMA),AUROPHARMA,NSE:AUROPHARMA,1327.35,1320.0,40.3,32.45,1392.75,1247.25,72.75,5.48%
Axis Bank Limited (XNSE:AXISBANK),AXISBANK,NSE:AXISBANK,1089.4,1090.0,25.7,26.2,1141.9,1038.1,51.9,4.76%
Bajaj Auto Limited (XNSE:BAJAJ-AUTO),BAJAJ-AUTO,NSE:BAJAJ-AUTO,8993.95,9000.0,237.8,241.25,9479.05,8520.95,479.05,5.33%
Bajaj Finserv Limited (XNSE:BAJAJFINSV),BAJAJFINSV,NSE:BAJAJFINSV,1710.5,1720.0,35.6,46.05,1801.65,1638.35,81.65,4.77%
Bajaj Finance Limited (XNSE:BAJFINANCE),BAJFINANCE,NSE:BAJFINANCE,7424.8,7400.0,200.45,174.45,7774.9,7025.1,374.9,5.05%
Balkrishna Industries Limited (XNSE:BALKRISIND),BALKRISIND,NSE:BALKRISIND,2826.3,2820.0,93.9,90.0,3003.9,2636.1,183.9,6.51%
Bandhan Bank Limited (XNSE:BANDHANBNK),BANDHANBNK,NSE:BANDHANBNK,158.17,157.5,6.2,5.4,169.1,145.9,11.6,7.33%
Bank of Baroda (XNSE:BANKBARODA),BANKBARODA,NSE:BANKBARODA,242.23,242.5,6.95,7.0,256.45,228.55,13.95,5.76%
Bank of India (XNSE:BANKINDIA),BANKINDIA,NSE:BANKINDIA,104.73,105.0,3.9,4.05,112.95,97.05,7.95,7.59%
Bata India Limited (XNSE:BATAINDIA),BATAINDIA,NSE:BATAINDIA,1451.45,1450.0,39.55,37.0,1526.55,1373.45,76.55,5.27%
Bharat Electronics Limited (XNSE:BEL),BEL,NSE:BEL,293.55,295.0,8.55,9.65,313.2,276.8,18.2,6.2%
Berger Paints (I) Limited (XNSE:BERGEPAINT),BERGEPAINT,NSE:BERGEPAINT,459.3,460.0,11.4,12.1,483.5,436.5,23.5,5.12%
Bharat Forge Limited (XNSE:BHARATFORG),BHARATFORG,NSE:BHARATFORG,1300.3,1300.0,37.55,35.95,1373.5,1226.5,73.5,5.65%
Bharti Airtel Limited (XNSE:BHARTIARTL),BHARTIARTL,NSE:BHARTIARTL,1605.1,1600.0,36.9,32.05,1668.95,1531.05,68.95,4.3%
Bharat Heavy Electricals Limited (XNSE:BHEL),BHEL,NSE:BHEL,231.45,230.0,9.1,7.45,246.55,213.45,16.55,7.15%
Biocon Limited (XNSE:BIOCON),BIOCON,NSE:BIOCON,371.3,370.0,12.0,10.6,392.6,347.4,22.6,6.09%
Bosch Limited (XNSE:BOSCHLTD),BOSCHLTD,NSE:BOSCHLTD,34448.95,34500.0,807.15,726.0,36033.15,32966.85,1533.15,4.45%
Bharat Petroleum Corporation Limited (XNSE:BPCL),BPCL,NSE:BPCL,298.05,300.0,7.6,9.35,316.95,283.05,16.95,5.69%
