SYMBOL,DATE,qnty_per_trade,avg_qnty_per_trade,deliv_qty,avg_deliv_qty,trade_qty_deviation,delivery_qty_deviation,F&O,NIFTY_500,ROC_RS_7,ROC_RS_14,AD_Count,DD_Count,NA_Count,vwap_positive_7days,vwap_negative_7days,vwap_positive_14days,vwap_negative_14days
RPPL,2025-01-17,104,49.0,62776,35418.0,108.0,77.0,N,N,,,4,7,14,22,6,37,50
RPSGVENT,2025-01-17,9,14.0,12800,40350.0,-33.0,-68.0,N,N,,,3,6,16,3,25,39,48
RPTECH,2025-01-17,45,36.0,48386,70754.0,24.0,-31.0,N,N,,,7,4,14,6,22,28,59
RRKABEL,2025-01-17,7,11.0,27839,67680.0,-35.0,-58.0,N,Y,,,4,3,18,2,26,9,78
RSWM,2025-01-17,20,26.0,10274,26597.0,-23.0,-61.0,N,N,,,4,4,17,5,23,43,44
RSYSTEMS,2025-01-17,20,31.0,26154,88320.0,-34.0,-70.0,N,N,,,2,7,16,16,12,41,46
RTNINDIA,2025-01-17,105,130.0,486065,764067.0,-18.0,-36.0,N,Y,,,2,10,13,3,25,47,40
RTNPOWER,2025-01-17,382,442.0,4622580,4661127.0,-13.0,0.0,N,N,,,3,8,14,2,25,12,74
RUBFILA,2025-01-17,47,42.0,22069,32989.0,12.0,-33.0,N,N,,,3,7,15,2,26,35,52
RUBYMILLS,2025-01-17,18,16.0,10613,14165.0,10.0,-25.0,N,N,,,2,8,15,3,25,22,65
RUCHINFRA,2025-01-17,221,147.0,52638,54172.0,50.0,-2.0,N,N,,,3,6,16,3,25,27,60
RUCHIRA,2025-01-17,15,29.0,6441,14709.0,-47.0,-56.0,N,N,,,5,5,15,17,11,46,41
RUPA,2025-01-17,25,32.0,29435,40744.0,-20.0,-27.0,N,N,,,3,7,15,3,25,47,40
RUSHIL,2025-01-17,176,153.0,127099,209502.0,15.0,-39.0,N,N,,,3,8,14,11,17,23,64
RUSTOMJEE,2025-01-17,8,12.0,5817,13789.0,-30.0,-57.0,N,N,,,6,7,12,2,26,29,58
RVNL,2025-01-17,73,47.0,2754268,1209597.0,52.0,127.0,N,Y,,,5,8,12,4,24,38,49
SADBHAV,2025-01-17,427,386.0,774422,501873.0,10.0,54.0,N,N,,,5,7,13,2,26,26,61
SADBHIN,2025-01-17,376,322.0,134219,198304.0,16.0,-32.0,N,N,,,3,6,16,6,21,9,72
SADHNANIQ,2025-01-17,124,136.0,102293,199110.0,-8.0,-48.0,N,N,,,2,6,17,3,25,8,79
SAFARI,2025-01-17,32,4.0,189616,19077.0,557.0,893.0,N,N,,,4,9,12,7,21,28,59
SAGARDEEP,2025-01-17,106,57.0,111355,16419.0,85.0,578.0,N,N,,,9,4,12,5,23,38,49
SAGCEM,2025-01-17,25,23.0,14015,18700.0,6.0,-25.0,N,N,,,5,6,14,21,7,62,25
SAHYADRI,2025-01-17,12,13.0,4584,4307.0,-11.0,6.0,N,N,,,1,9,15,2,26,38,49
SAIL,2025-01-17,195,193.0,2361294,3571371.0,1.0,-33.0,Y,Y,,,3,9,13,5,23,41,46
SAILIFE,2025-01-17,18,29.0,104902,470789.0,-37.0,-77.0,N,N,,,4,4,13,10,18,22,65
SAKAR,2025-01-17,19,23.0,4668,12311.0,-16.0,-62.0,N,N,,,3,9,13,7,21,42,45
SAKHTISUG,2025-01-17,96,118.0,41132,72662.0,-18.0,-43.0,N,N,,,6,6,13,7,21,19,68
SAKSOFT,2025-01-17,23,25.0,25270,54288.0,-8.0,-53.0,N,N,,,1,10,14,2,26,46,41
SALASAR,2025-01-17,644,643.0,1267744,5677544.0,0.0,-77.0,N,N,,,3,6,16,17,11,36,51
SALONA,2025-01-17,6,11.0,170,589.0,-37.0,-71.0,N,N,,,2,6,17,2,26,20,67
SALSTEEL,2025-01-17,66,102.0,12500,38412.0,-35.0,-67.0,N,N,,,2,9,14,2,26,23,64
SALZERELEC,2025-01-17,11,13.0,22773,52029.0,-15.0,-56.0,N,N,,,8,4,13,2,26,28,59
SAMHI,2025-01-17,46,43.0,474263,966830.0,6.0,-50.0,N,N,,,8,4,13,7,21,31,56
SAMMAANCAP,2025-01-17,133,131.0,2914238,2832144.0,1.0,2.0,N,Y,,,4,5,16,16,12,55,32
SANATHAN,2025-01-17,35,43.0,174290,307684.0,-17.0,-43.0,N,N,,,3,2,10,19,9,43,44
SANDESH,2025-01-17,2,5.0,122,878.0,-55.0,-86.0,N,N,,,5,5,15,2,26,28,59
SANDHAR,2025-01-17,11,15.0,28352,36027.0,-27.0,-21.0,N,N,,,5,8,12,3,25,42,45
SANDUMA,2025-01-17,28,33.0,40189,71760.0,-16.0,-43.0,N,N,,,3,7,15,5,23,34,53
SANGAMIND,2025-01-17,20,22.0,23362,21672.0,-9.0,7.0,N,N,,,5,3,17,19,9,33,54
SANGHIIND,2025-01-17,160,178.0,113194,209099.0,-10.0,-45.0,N,N,,,5,8,12,6,22,43,44
SANGHVIMOV,2025-01-17,22,18.0,177102,113644.0,17.0,55.0,N,N,,,3,10,12,5,23,24,63
SANGINITA,2025-01-17,78,175.0,9883,39138.0,-55.0,-74.0,N,N,,,4,7,14,2,24,22,63
SANOFI,2025-01-17,2,2.0,9631,7014.0,-17.0,37.0,N,Y,,,5,8,12,0,28,29,58
SANOFICONR,2025-01-17,28,6.0,42491,13732.0,328.0,209.0,N,N,,,4,3,18,17,10,56,30
SANSERA,2025-01-17,4,6.0,24185,49921.0,-22.0,-51.0,N,N,,,1,11,13,4,24,31,56
SANSTAR,2025-01-17,44,68.0,76364,311114.0,-35.0,-75.0,N,N,,,5,5,15,5,23,41,46
SAPPHIRE,2025-01-17,13,19.0,78018,204636.0,-28.0,-61.0,N,Y,,,7,3,15,25,3,49,38
SARDAEN,2025-01-17,12,22.0,63979,182872.0,-45.0,-65.0,N,N,,,3,7,15,0,26,5,80
SAREGAMA,2025-01-17,18,23.0,202644,430578.0,-23.0,-52.0,N,Y,,,6,4,15,3,25,48,39
SARVESHWAR,2025-01-17,452,649.0,940601,3709883.0,-30.0,-74.0,N,N,,,2,5,18,5,21,8,72
